state,District,MPCE_URP,MPCE_MRP,state_1
6,3,4481.0,4497.58,HR
6,3,4447.0,4341.25,HR
6,3,3464.5,3439.16,HR
6,3,1606.44,1834.69,HR
6,3,1823.6,1913.16,HR
6,3,1647.14,1785.21,HR
6,3,911.8,962.99,HR
6,3,816.8,983.05,HR
6,8,6252.67,3230.75,HR
6,8,4598.5,4319.39,HR
6,8,1101.2,1102.83,HR
6,8,1070.5,739.79,HR
6,8,2518.17,2109.83,HR
6,8,1740.67,1745.0,HR
6,8,698.14,843.35,HR
6,8,608.17,457.48,HR
6,2,6866.0,7942.3,HR
6,2,7008.0,8387.18,HR
6,2,2428.0,2639.64,HR
6,2,1336.33,1378.03,HR
6,2,926.0,1082.37,HR
6,2,1722.5,1867.02,HR
6,2,960.2,1091.44,HR
6,2,1071.33,1229.67,HR
6,13,2679.5,3794.24,HR
6,13,3940.0,4961.59,HR
6,13,1911.0,2686.79,HR
6,13,2608.25,3021.85,HR
6,13,2430.0,2836.74,HR
6,13,938.43,1335.49,HR
6,13,900.4,992.11,HR
6,13,734.0,883.67,HR
6,10,2626.0,2488.68,HR
6,10,1833.17,2136.07,HR
6,10,860.57,758.24,HR
6,10,1597.25,1596.19,HR
6,10,1338.33,1473.68,HR
6,10,1213.4,1196.41,HR
6,10,955.5,990.09,HR
6,10,1048.25,1228.46,HR
6,11,12635.5,5567.35,HR
6,11,2896.5,3352.97,HR
6,11,1487.25,1604.65,HR
6,11,2896.0,3020.73,HR
6,11,2035.86,2534.12,HR
6,11,1674.43,2008.06,HR
6,11,2283.6,2460.61,HR
6,11,3822.2,3839.05,HR
6,12,5493.0,5329.89,HR
6,12,9294.0,8455.64,HR
6,12,5286.25,5577.62,HR
6,12,7497.2,6047.45,HR
6,12,4646.0,5852.8,HR
6,12,5422.5,4955.38,HR
6,12,4632.2,4074.06,HR
6,12,4011.6,4463.02,HR
6,9,1535.6,1817.55,HR
6,9,1240.5,1754.54,HR
6,9,2238.5,2645.49,HR
6,9,3285.0,3504.21,HR
6,9,1408.83,1715.59,HR
6,9,2274.25,2729.39,HR
6,9,1609.75,1936.94,HR
6,9,2506.5,2877.8,HR
6,12,2541.33,3029.14,HR
6,12,8730.5,5971.53,HR
6,12,5014.0,4527.56,HR
6,12,2800.5,2988.82,HR
6,12,12539.0,17495.03,HR
6,12,4692.33,2725.16,HR
6,12,2224.6,2044.11,HR
6,12,1912.8,1914.69,HR
6,11,2534.0,2607.78,HR
6,11,1240.83,1245.24,HR
6,11,1488.8,2287.48,HR
6,11,887.33,974.23,HR
6,11,3716.0,6662.37,HR
6,11,1648.88,1763.46,HR
6,11,1289.5,1437.24,HR
6,11,2152.75,1877.41,HR
6,9,4534.0,5075.37,HR
6,9,1091.75,1217.11,HR
6,9,1240.5,1357.43,HR
6,9,1232.0,1426.99,HR
6,9,2782.33,2909.73,HR
6,9,2541.5,2784.34,HR
6,9,1950.0,2449.26,HR
6,9,924.75,1108.29,HR
6,13,3191.75,3485.35,HR
6,13,2532.4,3107.8,HR
6,13,1432.2,1552.69,HR
6,13,1907.2,2128.08,HR
6,13,1114.4,1276.07,HR
6,13,2868.33,2847.51,HR
6,13,1147.2,1167.39,HR
6,13,1030.0,1140.73,HR
6,8,1810.33,2490.11,HR
6,8,2880.8,3675.57,HR
6,8,3148.75,3827.89,HR
6,8,2593.5,3703.84,HR
6,8,2178.4,2897.52,HR
6,8,3006.75,3843.74,HR
6,8,10474.29,4694.62,HR
6,8,2183.86,2559.59,HR
